,Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
0,Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,1,1,82,82
1,Fantasy Girl,.38 Special,,Fantasy Girl by .38 Special,1,0,3,0
2,Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,1,1,85,85
3,Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,1,1,18,18
4,Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1,1,1,1
5,Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,1,1,13,13
6,Loser,3 Doors Down,2000,Loser by 3 Doors Down,1,1,1,1
7,When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,1,1,6,6
8,What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,1,1,3,3
9,Take On Me,a-ha,1985,Take On Me by a-ha,1,1,1,1
10,"Baby, Please Don't Go",AC/DC,,"Baby, Please Don't Go by AC/DC",1,0,1,0
11,Back In Black,AC/DC,1980,Back In Black by AC/DC,1,1,97,97
12,Big Gun,AC/DC,1993,Big Gun by AC/DC,1,1,6,6
13,CAN'T STOP ROCK'N'ROLL,AC/DC,,CAN'T STOP ROCK'N'ROLL by AC/DC,1,0,5,0
14,Dirty Deeds Done Dirt Cheap,AC/DC,1976,Dirty Deeds Done Dirt Cheap by AC/DC,1,1,85,85
15,For Those About To Rock,AC/DC,1981,For Those About To Rock by AC/DC,1,1,46,46
16,Girls Got Rhythm,AC/DC,,Girls Got Rhythm by AC/DC,1,0,24,0
17,Hard As A Rock,AC/DC,1995,Hard As A Rock by AC/DC,1,1,1,1
18,Have a Drink On Me,AC/DC,1980,Have a Drink On Me by AC/DC,1,1,39,39
19,Hells Bells,AC/DC,1980,Hells Bells by AC/DC,1,1,74,74
20,Highway To Hell,AC/DC,1979,Highway To Hell by AC/DC,1,1,92,92
21,It's A Long Way To The Top,AC/DC,1975,It's A Long Way To The Top by AC/DC,1,1,39,39
22,Jailbreak,AC/DC,1984,Jailbreak by AC/DC,1,1,1,1
23,Let There Be Rock,AC/DC,1977,Let There Be Rock by AC/DC,1,1,3,3
24,Let's Get It Up,AC/DC,,Let's Get It Up by AC/DC,1,0,4,0
25,Live Wire,AC/DC,,Live Wire by AC/DC,1,0,2,0
26,Moneytalks,AC/DC,,Moneytalks by AC/DC,1,0,20,0
27,Night Prowler,AC/DC,1979,Night Prowler by AC/DC,1,1,1,1
28,Rock and Roll Ain't Noise Pollution,AC/DC,1980,Rock and Roll Ain't Noise Pollution by AC/DC,1,1,21,21
29,Shoot To Thrill,AC/DC,,Shoot To Thrill by AC/DC,1,0,45,0
30,Shot Down In Flames,AC/DC,1979,Shot Down In Flames by AC/DC,1,1,2,2
31,Sin City,AC/DC,,Sin City by AC/DC,1,0,1,0
32,T.N.T.,AC/DC,1975,T.N.T. by AC/DC,1,1,66,66
33,Thunderstruck,AC/DC,1990,Thunderstruck by AC/DC,1,1,34,34
34,Touch Too Much,AC/DC,1979,Touch Too Much by AC/DC,1,1,2,2
35,What Do You Do For Money Honey,AC/DC,,What Do You Do For Money Honey by AC/DC,1,0,2,0
36,Who Made Who,AC/DC,1986,Who Made Who by AC/DC,1,1,12,12
37,Whole Lotta Rosie,AC/DC,1977,Whole Lotta Rosie by AC/DC,1,1,3,3
38,You Shook Me All Night Long,AC/DC,1980,You Shook Me All Night Long by AC/DC,1,1,138,138
39,How Long,Ace,1974,How Long by Ace,1,1,1,1
40,Dog On A Leash,Adelitas Way,2014,Dog On A Leash by Adelitas Way,1,1,4,4
41,Angel,Aerosmith,1987,Angel by Aerosmith,1,1,12,12
42,"Baby, Please Don't Go",Aerosmith,,"Baby, Please Don't Go by Aerosmith",1,0,1,0
43,Back in the Saddle,Aerosmith,1976,Back in the Saddle by Aerosmith,1,1,39,39
44,Big Ten Inch,Aerosmith,1975,Big Ten Inch by Aerosmith,1,1,3,3
45,Come Together,Aerosmith,,Come Together by Aerosmith,1,0,65,0
46,Crazy,Aerosmith,1993,Crazy by Aerosmith,1,1,7,7
47,Cryin',Aerosmith,1993,Cryin' by Aerosmith,1,1,15,15
48,Draw The Line,Aerosmith,1977,Draw The Line by Aerosmith,1,1,1,1
49,Dream On,Aerosmith,1973,Dream On by Aerosmith,1,1,142,142
50,Dude (Looks Like a Lady),Aerosmith,1987,Dude (Looks Like a Lady) by Aerosmith,1,1,42,42
51,Jaded,Aerosmith,2001,Jaded by Aerosmith,1,1,1,1
52,Janie's Got A Gun,Aerosmith,1989,Janie's Got A Gun by Aerosmith,1,1,34,34
53,Kings and Queens,Aerosmith,,Kings and Queens by Aerosmith,1,0,1,0
54,Last Child,Aerosmith,1976,Last Child by Aerosmith,1,1,4,4
55,Let the Music Do the Talking,Aerosmith,1985,Let the Music Do the Talking by Aerosmith,1,1,1,1
56,Livin' On The Edge,Aerosmith,1993,Livin' On The Edge by Aerosmith,1,1,27,27
57,Love In An Elevator,Aerosmith,1989,Love In An Elevator by Aerosmith,1,1,35,35
58,Mama Kin,Aerosmith,1973,Mama Kin by Aerosmith,1,1,5,5
59,No More No More,Aerosmith,1975,No More No More by Aerosmith,1,1,2,2
60,One Way Street,Aerosmith,,One Way Street by Aerosmith,1,0,1,0
61,Pink,Aerosmith,1997,Pink by Aerosmith,1,1,1,1
62,Rag Doll,Aerosmith,1987,Rag Doll by Aerosmith,1,1,47,47
63,Same Old Song and Dance,Aerosmith,1974,Same Old Song and Dance by Aerosmith,1,1,18,18
64,Seasons of Wither,Aerosmith,1974,Seasons of Wither by Aerosmith,1,1,2,2
65,Sweet Emotion,Aerosmith,1975,Sweet Emotion by Aerosmith,1,1,141,141
66,The Other Side,Aerosmith,,The Other Side by Aerosmith,1,0,11,0
67,Toys in the Attic,Aerosmith,1975,Toys in the Attic by Aerosmith,1,1,2,2
68,Train Kept A-Rollin',Aerosmith,1974,Train Kept A-Rollin' by Aerosmith,1,1,15,15
69,Walk This Way,Aerosmith,1975,Walk This Way by Aerosmith,1,1,106,106
70,What It Takes,Aerosmith,1989,What It Takes by Aerosmith,1,1,31,31
71,You See Me Crying,Aerosmith,,You See Me Crying by Aerosmith,1,0,1,0
72,Hand In My Pocket,Alanis Morissette,1995,Hand In My Pocket by Alanis Morissette,1,1,1,1
73,You Oughta Know,Alanis Morissette,1995,You Oughta Know by Alanis Morissette,1,1,6,6
74,Black Velvet,Alannah Myles,1989,Black Velvet by Alannah Myles,1,1,1,1
75,Fantasy,Aldo Nova,,Fantasy by Aldo Nova,1,0,4,0
76,BE MY LOVER,Alice Cooper,,BE MY LOVER by Alice Cooper,1,0,1,0
77,Billion Dollar Babies,Alice Cooper,1973,Billion Dollar Babies by Alice Cooper,1,1,2,2
78,Eighteen,Alice Cooper,1971,Eighteen by Alice Cooper,1,1,4,4
79,Elected,Alice Cooper,1973,Elected by Alice Cooper,1,1,1,1
80,House Of Fire,Alice Cooper,,House Of Fire by Alice Cooper,1,0,1,0
81,I'm Eighteen,Alice Cooper,1971,I'm Eighteen by Alice Cooper,1,1,24,24
82,No More Mr. Nice Guy,Alice Cooper,1973,No More Mr. Nice Guy by Alice Cooper,1,1,39,39
83,School's Out,Alice Cooper,1972,School's Out by Alice Cooper,1,1,44,44
84,Under My Wheels,Alice Cooper,1971,Under My Wheels by Alice Cooper,1,1,18,18
85,Welcome To My Nightmare,Alice Cooper,1975,Welcome To My Nightmare by Alice Cooper,1,1,10,10
86,Down in a Hole,Alice In Chains,1992,Down in a Hole by Alice In Chains,1,1,1,1
87,Man In The Box,Alice In Chains,1990,Man In The Box by Alice In Chains,1,1,13,13
88,No Excuses,Alice In Chains,1994,No Excuses by Alice In Chains,1,1,2,2
89,Rooster,Alice In Chains,1992,Rooster by Alice In Chains,1,1,2,2
90,Them Bones,Alice In Chains,1992,Them Bones by Alice In Chains,1,1,2,2
91,Would?,Alice In Chains,1992,Would? by Alice In Chains,1,1,2,2
92,Ain't Wastin' Time No More,Allman Brothers Band,1972,Ain't Wastin' Time No More by Allman Brothers Band,1,1,1,1
93,Blue Sky,Allman Brothers Band,1972,Blue Sky by Allman Brothers Band,1,1,1,1
94,Good Clean Fun,Allman Brothers Band,1990,Good Clean Fun by Allman Brothers Band,1,1,2,2
95,In Memory Of Elizabeth Reed,Allman Brothers Band,1970,In Memory Of Elizabeth Reed by Allman Brothers Band,1,1,1,1
96,Jessica,Allman Brothers Band,1973,Jessica by Allman Brothers Band,1,1,12,12
97,Melissa,Allman Brothers Band,1972,Melissa by Allman Brothers Band,1,1,6,6
98,Midnight Rider,Allman Brothers Band,1970,Midnight Rider by Allman Brothers Band,1,1,21,21
